file_id,user_id,subforum_id,num_contexts,hate_binary,train_binary,text
12834217_1,572066,1346,0,False,False,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting ."
12834217_2,572066,1346,0,False,True,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos ."
12834217_3,572066,1346,0,False,False,( Simply copy and paste the following text into your YouTube videos description boxes. )
12834217_4,572066,1346,0,True,True,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .
12834217_5,572066,1346,0,False,False,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .
12834217_6,572066,1346,0,False,False,"Booklet updated on Feb. 14th , 2014 ."
12834217_7,572066,1346,0,False,False,"( Now with over 18,300 Downloads. )"
12834217_8,572066,1346,0,False,False,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?
12834217_9,572066,1346,0,False,False,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?
12834217_10,572066,1346,0,False,False,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt
12834493_1,572058,1396,0,True,True,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !"
12843221_1,575003,1396,0,False,False,Thank you for the info. i will deffinetly look into them .
12843221_2,575003,1396,0,False,False,I hope there is room for one more as i am very excited about this .
12845600_1,575437,1396,0,False,False,I just came across this piece of garbage .
12845600_2,575437,1396,0,False,False,Comments say she is from SA .
12845600_3,575437,1396,0,False,False,Warning : Graphic .
12845600_4,575437,1396,0,False,False,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube
12845808_1,572287,1396,1,False,False,The whites are more in the range of 4.8 million .
12845808_2,572287,1396,1,False,False,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .
12849464_1,575975,1346,0,False,False,Thank you for posting your story .
12849464_2,575975,1346,0,False,True,I think you should write a book as well .
12849464_3,575975,1346,1,True,False,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me ."
12849464_4,575975,1346,1,True,False,And the sad thing is the white students at those schools will act like that too .
12849464_5,575975,1346,1,False,True,"I guess I 'll just stick to homeschooling my kids , when and if I have them ..."
12851329_1,576176,1346,0,False,False,Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .
12851329_2,576176,1346,0,False,False,No wonder young people ca n't get jobs .
12851329_3,576176,1346,0,False,False,They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .
12854837_1,573356,1346,0,False,False,"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images ."
12854837_2,573356,1346,0,False,False,National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .
12854837_3,573356,1346,0,False,False,Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .
12854837_4,573356,1346,0,False,False,I think VHS tapes are available at Amazon .
12855154_1,576372,1346,0,True,True,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .
12855349_1,572083,1346,0,False,False,When the girl starts talking the guy in the middles lips start moving .
12855349_2,572083,1346,0,False,False,"He was checking her lines , bad actors ca n't help themselves from doing this ."
12855497_1,575939,1346,0,False,False,This whole situation starts to become really bizarre .
12855497_2,575939,1346,0,False,False,I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......
12855497_3,575939,1346,1,False,False,I do n't know who to support anymore ................
12855806_1,575744,1346,0,False,False,I've read many post on here saying Israel gives training to US law enforcement .
12855806_2,575744,1346,0,False,False,I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .
12856993_1,575948,1346,0,False,False,I believe his dog would like to get as far away from him as possible !
12856993_2,575948,1346,3,False,False,Free North Carolina : Peterson 's particulars VikingInMe
12858701_1,572179,1346,2,False,False,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this ."
12860820_1,573375,1346,0,True,True,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers
12863641_1,572066,1346,0,False,False,The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada
12869018_1,575841,1346,0,False,False,I do n't watch T.V. or Hollywood movies .
12869018_2,575841,1346,0,False,False,I know of Chris Rock and subsequently have hated him for a long time .
12869018_3,575841,1346,1,True,True,He is a pathetic little chimp .
12869757_1,573148,1346,1,False,False,Declaring war on the innocent White Population of any nation could easily be justified by anyone who was not a White Nationalist .
12870229_1,572066,1346,0,False,False,"Seekers of Truth , Start out by watching the `` Benjamin Freedman Speaks '' video @ youtube ."
12870229_2,572066,1346,0,False,False,"com/watch ? v = hXBcyX97jGM then move on to watching , `` The Loss of Liberty '' film @ youtube ."
12870229_3,572066,1346,0,False,True,com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .
12870229_4,572066,1346,0,False,False,com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .
12870229_5,572066,1346,0,False,False,com/watch ? v = 6OK6ks7BSOY For a FREE informative BOOKLET & video on the Zionist-engineered INTENTIONAL destruction of White people go to : youtube .
12870229_6,572066,1346,0,False,False,com/watch ? v = n663eVTSyS8
12875264_1,575695,1397,0,False,False,Note!
12875264_2,575695,1397,0,False,False,"Wntube is now .net , not .com."
12875264_3,575695,1397,0,False,False,They have improved the site .
12875264_4,575695,1397,0,False,False,Please contribute and/or donate .
12875264_5,575695,1397,0,False,False,http://www.wntube.net/play.php ? vid = 1428 & code = 108
12883101_1,577823,1345,4,True,True,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !
12883101_2,577823,1345,4,False,True,Welcome to the front lines ...
12883101_3,577823,1345,4,False,False,"Folk , Faith , Family Hail Victory !!"
12904919_1,572076,1345,0,True,True,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth ."
12904919_2,572076,1345,0,False,False,Protesters Clash during Military Parade in Barking
12905790_1,578244,1345,2,False,False,Does this not show how stupid these folks can be ?
12905790_2,578244,1345,2,False,False,"Let 's order a pizza to be delivered where we are and then try to assault the driver , no one will know how to catch us ."
12915702_1,575999,1345,0,False,True,Nice to know that are still a few men out there who `` have a pair '' .
12915702_2,575999,1345,0,False,False,Your courage and honestly are apprecated .
12915702_3,575999,1345,0,False,False,Jesus Christ is Lord indeed .
12915702_4,575999,1345,0,False,False,Y' all have a nice day .
13061184_1,577495,1345,1,True,True,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand ."
13061184_2,577495,1345,1,True,True,May they all get mad cow disease .
13061184_3,577495,1345,1,False,False,The sooner the better .
13063006_1,578159,1345,1,False,False,"Yeah, but no one will ever hear of this ."
13063006_2,578159,1345,1,False,False,Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .
13063290_1,578990,1345,0,False,False,That's all I needed to hear .
